,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
643,144.0,Sci-Fi,The Martian,401700000.0,The Martian,108000000.0,228433663.0,655271443.0,2.1151265092592593,3.7194444444444446,6.067328175925926
647,103.0,Drama,The Wolfman,77800000.0,The Wolfman,150000000.0,62189884.0,142634358.0,0.41459922666666665,0.5186666666666667,0.95089572
647,103.0,Fantasy,The Wolfman,77800000.0,The Wolfman,150000000.0,62189884.0,142634358.0,0.41459922666666665,0.5186666666666667,0.95089572
647,103.0,Horror,The Wolfman,77800000.0,The Wolfman,150000000.0,62189884.0,142634358.0,0.41459922666666665,0.5186666666666667,0.95089572
652,130.0,Action,Tomorrowland,115700000.0,Tomorrowland,170000000.0,93436322.0,206627518.0,0.5496254235294118,0.6805882352941176,1.2154559882352942
652,130.0,Adventure,Tomorrowland,115700000.0,Tomorrowland,170000000.0,93436322.0,206627518.0,0.5496254235294118,0.6805882352941176,1.2154559882352942
652,130.0,Family,Tomorrowland,115700000.0,Tomorrowland,170000000.0,93436322.0,206627518.0,0.5496254235294118,0.6805882352941176,1.2154559882352942
653,70.0,Documentary,Tomorrowland,115700000.0,Tomorrowland,170000000.0,93436322.0,206627518.0,0.5496254235294118,0.6805882352941176,1.2154559882352942
656,102.0,Action,Big Hero 6,435300000.0,Big Hero 6,165000000.0,222527828.0,652127828.0,1.348653503030303,2.638181818181818,3.952289866666667
656,102.0,Adventure,Big Hero 6,435300000.0,Big Hero 6,165000000.0,222527828.0,652127828.0,1.348653503030303,2.638181818181818,3.952289866666667
656,102.0,Animation,Big Hero 6,435300000.0,Big Hero 6,165000000.0,222527828.0,652127828.0,1.348653503030303,2.638181818181818,3.952289866666667
657,133.0,Action,Spider-Man: Homecoming,546000000.0,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,1.9097208,3.12,5.029522
657,133.0,Adventure,Spider-Man: Homecoming,546000000.0,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,1.9097208,3.12,5.029522
657,133.0,Sci-Fi,Spider-Man: Homecoming,546000000.0,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,1.9097208,3.12,5.029522
658,108.0,Adventure,Zootopia,682500000.0,Zootopia,150000000.0,341268248.0,1019429616.0,2.275121653333333,4.55,6.79619744
658,108.0,Animation,Zootopia,682500000.0,Zootopia,150000000.0,341268248.0,1019429616.0,2.275121653333333,4.55,6.79619744
658,108.0,Comedy,Zootopia,682500000.0,Zootopia,150000000.0,341268248.0,1019429616.0,2.275121653333333,4.55,6.79619744
659,144.0,Action,X-Men: Apocalypse,388500000.0,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,0.8732724101123596,2.182584269662921,3.047963741573034
659,144.0,Adventure,X-Men: Apocalypse,388500000.0,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,0.8732724101123596,2.182584269662921,3.047963741573034
659,144.0,Sci-Fi,X-Men: Apocalypse,388500000.0,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,0.8732724101123596,2.182584269662921,3.047963741573034
660,89.0,Adventure,Despicable Me 3,770200000.0,Despicable Me 3,75000000.0,264624300.0,1034727750.0,3.528324,10.269333333333334,13.79637
660,89.0,Animation,Despicable Me 3,770200000.0,Despicable Me 3,75000000.0,264624300.0,1034727750.0,3.528324,10.269333333333334,13.79637
660,89.0,Comedy,Despicable Me 3,770200000.0,Despicable Me 3,75000000.0,264624300.0,1034727750.0,3.528324,10.269333333333334,13.79637
